frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
22,6,396.3333333333333 354.6666666666667 574.3333333333334 501.0,459.0 443.0 511.0 469.0,0,0,0
23,6,395.55555555555554 355.77777777777777 574.2222222222222 502.3333333333333,458.0 444.0 512.3333333333334 470.6666666666667,0,0,0
24,6,394.77777777777777 356.8888888888889 574.1111111111111 503.6666666666667,457.0 445.0 513.6666666666666 472.3333333333333,0,0,0
25,6,394.0 358.0 574.0 505.0,456.0 446.0 515.0 474.0,0.4475798010826111,IGUS CJ,0.056635642121661695
26,6,392.0 359.0 574.0 507.0,456.0 448.0 515.0 475.0,0.4164764881134033,ADUSCCJ,0.038727721124475374
27,6,392.0 360.0 575.0 508.0,454.0 448.0 516.0 475.0,0.3172021210193634,4D45OGJ,0.042208631334920525
28,6,391.0 361.0 574.5 510.0,453.5 450.5 512.0 475.5,0,0,0
29,6,390.0 362.0 574.0 512.0,453.0 453.0 508.0 476.0,0.3407723605632782,WCNS OCJ,0.020100577947854484
30,6,388.0 363.0 574.0 514.0,456.0 454.0 501.0 478.0,0.3821663558483124,1GUSOG,0.05256447266626952
31,6,387.5 364.5 573.5 516.0,456.5 456.0 504.0 480.0,0,0,0
32,6,387.0 366.0 573.0 518.0,457.0 458.0 507.0 482.0,0.26917916536331177,5U50G4,0.07784155552915589
33,6,386.0 367.6666666666667 571.3333333333334 519.0,454.6666666666667 459.0 505.6666666666667 483.0,0,0,0
34,6,385.0 369.3333333333333 569.6666666666666 520.0,452.3333333333333 460.0 504.3333333333333 484.0,0,0,0
35,6,384.0 371.0 568.0 521.0,450.0 461.0 503.0 485.0,0.3254358768463135,G4SOG4,0.05951644094742541
36,6,384.0 371.5 569.5 522.5,449.0 462.5 505.5 488.0,0,0,0
37,6,384.0 372.0 571.0 524.0,448.0 464.0 508.0 491.0,0.4663544297218323,ACWSOCJ,0.038374484211613206
38,6,382.0 373.0 570.0 525.0,446.0 464.0 509.0 491.0,0.48865729570388794,40450G4,0.06444760405804333
39,6,381.0 375.0 569.0 526.0,441.0 466.0 506.0 490.0,0.5106286406517029,CVIS 0GJ,0.02756645078468374
